u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
47,-2.8757242379355543,0.2456814293658569,2.5720685439769735,-0.002730547347257661,-0.00031096874609743926,-0.1598379396966803,-0.2638821810527144,-1.4868294274222509,-1.3959750114192315,-0.1306216271804363,-0.5222061686689692,-0.03425209987338243,1.8367879000370102,-0.0019345401178016372,0.165363075222886,-0.014950328696188758,-0.01680478886183198,0.0
48,-2.8747927539032103,0.24798273239635765,2.588014906202873,-0.0027827202308635833,-0.000313706487496772,-0.1596263149248629,-0.2634810523210556,-1.4866102225305773,-1.393249349066222,-0.13067812997713416,-0.5230918611376865,-0.03421647078408271,1.8336751380832084,-0.0019210138483351255,0.1643721097459004,-0.015052917176569779,-0.016798385283496427,0.0
49,-2.8738629861831018,0.250274320933292,2.6039419664523615,-0.002834858764275683,-0.0003164364328091297,-0.15941489371081785,-0.2630806657921922,-1.4863910378870053,-1.3905296574890762,-0.13073450257203761,-0.5239701580831956,-0.034180857621867816,1.8305694775898977,-0.0019075013448071132,0.16338610610564644,-0.015155070921457754,-0.0167919849513192,0.0
50,-2.8729349318304984,0.2525562279284147,2.6198497439961095,-0.0028869629665015635,-0.00031915860010232975,-0.15920367586996592,-0.2626810202409963,-1.4861718734899276,-1.3878159294311867,-0.13079074514184566,-0.5248410966722459,-0.03414526038035921,1.8274709003130205,-0.0018940025951657972,0.1624050403474893,-0.015256791386302877,-0.016785587863458133,0.0
51,-2.872008587905594,0.25482848622865906,2.6357382580868025,-0.0029390328565400627,-0.0003218730074048278,-0.15899266121789166,-0.26228211444293903,-1.4859527293375634,-1.3851081575862827,-0.13084685786304187,-0.525704713904872,-0.034109679053181415,1.824379388058386,-0.0018805175873691786,0.16142888863089794,-0.015358080022002472,-0.016779194018072083,0.0
52,-2.871083951473505,0.2570911285764527,2.651607527959094,-0.002991068453379791,-0.0003245796727057703,-0.1587818495703441,-0.261883947174099,-1.4857336054281767,-1.3824063345990614,-0.1309028409118998,-0.5265610466151092,-0.03407411363396028,1.821294922681542,-0.0018670463093855595,0.16045762722890516,-0.015458938274915117,-0.016772803413320936,0.0
53,-2.8701610196042537,0.2593441876100428,2.6674575728292145,-0.003043069775997865,-0.00032727861395511,-0.15857124074323437,-0.26148651721117194,-1.4855145017600764,-1.379710453065809,-0.1309586944644783,-0.5274101314717098,-0.034038564116326414,1.8182174860876235,-0.0018535887491931934,0.1594912325275697,-0.015559367586873856,-0.01676641604736591,0.0
54,-2.8692397893727666,0.2615876958638198,2.6832884118956146,-0.0030950368433628308,-0.00032996984906365895,-0.15836083455263888,-0.26108982333147984,-1.4852954183314784,-1.3770205055350255,-0.13101441869662347,-0.5282520049788443,-0.034003030493910416,1.8151470602312145,-0.0018401448947803277,0.15852968102544182,-0.01565936939520041,-0.016760031918369098,0.0
55,-2.8683202578588642,0.2638216857686415,2.699100064338572,-0.003146969674433128,-0.00033265339590319686,-0.15815063081479516,-0.2606938643129816,-1.4850763551406414,-1.3743364845080352,-0.13107001378397032,-0.5290867034768155,-0.033967512760346846,1.8120836271162104,-0.0018267147341452517,0.1575729493330304,-0.01575894513271859,-0.016753651024493804,0.0
56,-2.867402422147251,0.2660461896521472,2.71489254932027,-0.0031988682881561896,-0.0003353292723065359,-0.15794062934610575,-0.26029863893428035,-1.4848573121859294,-1.3716583824395965,-0.1311254799019411,-0.5299142631427525,-0.033932010909271976,1.809027168795676,-0.0018132982552962907,0.15662101417227345,-0.015858096227768237,-0.016747273363904414,0.0
57,-2.866486279327512,0.2682612397390816,2.730665885984701,-0.0032507327034718295,-0.00033799749606761205,-0.15773082996313548,-0.2599041459746343,-1.4846382894654917,-1.3689861917385102,-0.13118081722574632,-0.5307347199913182,-0.03389652493432586,1.8059776673717078,-0.0017998954462517553,0.1556738523760103,-0.01595682410421851,-0.01674089893476649,0.0
58,-2.8655718264940977,0.27046686815161003,2.746420093458178,-0.0033025629393074155,-0.0003406580849415747,-0.1575212324826113,-0.25951038421396494,-1.484419286977705,-1.3663199047682173,-0.1312360259303861,-0.5315481098754045,-0.033861054829149105,1.8029351049952917,-0.0017865062950399601,0.15473144088745694,-0.016055130181481844,-0.016734527735246613,0.0
59,-2.8646590607463245,0.2726631069096414,2.7621551908487483,-0.003354359014581355,-0.0003433110566448431,-0.15731183672142363,-0.2591173524328663,-1.4842003047207977,-1.3636595138473941,-0.13129110619064868,-0.5323544684868212,-0.03382560058738549,1.799899463866169,-0.0017731307896991838,0.15379375675968332,-0.016153015874527322,-0.016728159763512485,0.0
60,-2.863747979188358,0.27484998793113674,2.7778711972465175,-0.0034061209482027562,-0.00034595642885522305,-0.15710264249662587,-0.25872504941261415,-1.4839813426929813,-1.361005011250545,-0.13134605818111006,-0.5331538313569959,-0.03379016220268282,1.7968707262326946,-0.001759768918277692,0.15286077715509355,-0.016250482593893893,-0.016721795017732882,0.0
61,-2.862838578929213,0.2770275430324345,2.7935681317235592,-0.003457848759071156,-0.00034859421921196014,-0.15689364962543215,-0.25833347393517503,-1.4837624008926213,-1.3583563892085855,-0.1314008820761375,-0.5339462338576534,-0.033754739668688145,1.7938488743917003,-0.001746420668833907,0.1519324793449083,-0.016347531745704472,-0.01671543349607776,0.0
62,-2.86193085708274,0.2791958039285545,2.809246013334075,-0.003509542466073207,-0.00035122444531583723,-0.15668485792522113,-0.25794262478321434,-1.4835434793179425,-1.3557136399094243,-0.1314555780498858,-0.5347317112015085,-0.033719332979054446,1.7908338906883605,-0.0017330860294358088,0.1510088407086497,-0.016444164731678867,-0.01670907519671815,0.0
63,-2.8610248107676197,0.2813548022335205,2.824904861114313,-0.00356120208808965,-0.00035384712472924984,-0.15647626721353114,-0.2575525007401057,-1.4833245779672648,-1.3530767554985426,-0.13151014627630161,-0.5355102984429427,-0.03368394212743425,1.7878257575160497,-0.0017197649881617874,0.15008983873362858,-0.01654038294914712,-0.016702720117826052,0.0
64,-2.8601204371073523,0.283504569460667,2.8405446940826318,-0.003612827643988779,-0.00035646227497629774,-0.15626787730806474,-0.2571631005899397,-1.4831056968387744,-1.3504457280795599,-0.13156458692911963,-0.5362820304786887,-0.03364856710748408,1.7848244573162098,-0.001706457533099864,0.14917545101443425,-0.016636187791063337,-0.016696368257574784,0.0
65,-2.859217733230255,0.2856451370229557,2.8561655312391974,-0.003664419152630197,-0.0003590699135428429,-0.1560596880266848,-0.25677442311753235,-1.482886835930805,-1.3478205497148075,-0.13161890018186587,-0.5370469420485026,-0.033613207912863194,1.7818299725782125,-0.0016931636523480685,0.1482656552524268,-0.016731580646018505,-0.016690019614138615,0.0
66,-2.8583166962694473,0.2877765362332804,2.8717673915667374,-0.0037159766328621327,-0.0003616700578766216,-0.15585169918741662,-0.25638646710843377,-1.4826679952416149,-1.3452012124258872,-0.13167308620785623,-0.5378050677358419,-0.03357786453723241,1.7788422858392259,-0.0016798833340145316,0.14736042925523138,-0.016826562898253954,-0.016683674185692967,0.0
